endTime,msPlayed,id
2019-04-23 05:54:00+00:00,175620,2TcCnaekMPZ287vkd2f8Wi
2019-04-23 05:57:00+00:00,177973,1ydOxBgLmEMfWffu6t4H5x
2019-04-23 06:01:00+00:00,220137,40ZO0ps1ZlbMV6Scg8TCRk
2019-04-23 06:04:00+00:00,159750,0R5GHstZfGdRcfXrAcL7Sd
2019-04-23 06:07:00+00:00,225720,2lnXzRnyqRMVCm8RIB8I9E
2019-04-23 06:12:00+00:00,230400,2Bz3RT8g3PlMGWP96ZPd1I
2019-04-23 06:15:00+00:00,189130,4ZQaXsqI1GCAHSjw28v1iE
2019-04-23 06:19:00+00:00,244413,3lObEUBA2nt1tp6vMut2fO
2019-04-23 06:23:00+00:00,249230,4T85qMJMUUQy3xWXDsZwTH
2019-04-23 06:27:00+00:00,241440,1eyzqe2QqGZUmfcPZtrIyt
2019-04-23 06:31:00+00:00,191760,0j1BAvgZnO5LoRCsGtgYYG
2019-04-23 06:34:00+00:00,210696,2EO4ceCv4CLdEsYXZ0Qles
2019-04-23 06:34:00+00:00,1370,5ZzjNL4J31lqU853Un7T3f
2019-04-23 06:34:00+00:00,0,6zpPM62OG9O20Ws7ki4lRm
2019-04-23 06:35:00+00:00,32350,6zpPM62OG9O20Ws7ki4lRm
2019-04-23 06:39:00+00:00,251120,4M2I8uh62dAUdskZMOMVyv
2019-04-23 06:48:00+00:00,295890,5ZzjNL4J31lqU853Un7T3f
2019-04-23 06:52:00+00:00,224449,732Sqj2piYPhdMPENP4axz
2019-04-23 06:54:00+00:00,164165,1QzC4y8h6WFxHE4KlokhVr
2019-04-23 06:58:00+00:00,203813,1gXBi2I04CLJkTQnhNfEJT
2019-04-23 07:03:00+00:00,304840,4zFgZQEatsyUhLhDtClcKl
2019-04-23 07:06:00+00:00,189796,5u64RlrnvvbtNh6R0EMh6o
2019-04-23 07:09:00+00:00,185655,6NH0INjndqCP7g4DKu7xQJ
2019-04-23 07:12:00+00:00,179893,12rP7ytbWJtgieYHVyDONx
2019-04-23 07:16:00+00:00,239531,51CWJpAEwPDMDQnByziQr2
